1;(3);William;941;(850);;Adam ;613;(579);10;(11)
2;(1);Oscar;896;(879);;Adrian;506;(556);18;(14)
3;(4);Liam ;823;(790);;Albin ;343;(374);43;(38)
4;(2);Lucas;793;(864);;Alexander ;701;(668);6;(7)
5;(5);Oliver ;765;(700);;Alfred;497;(541);19;(17)
6;(7);Alexander ;701;(668);;Ali;180;(175);83;(89)
7;(8);Elias ;681;(664);;Alvin;222;(251);69;(69)
8;(6);Hugo ;670;(688);;Anton;244;(294);64;(52)
9;(10);Noah;654;(627);;Aron;209;(213);71;(77)
10;(11);Adam ;613;(579);;Arvid ;453;(507);25;(22)
11;(18);Leo;548;(538);;August;388;(327);32;(45)
12;(9);Charlie ;545;(650);;Axel ;527;(554);16;(15)
13;(20);Elliot;544;(524);;Benjamin;382;(452);34;(30)
14;(24);Walter;538;(476);;Carl;243;(279);65;(59)
15;(25);Isak;528;(475);;Casper ;236;(300);67;(51)
16;(15);Axel ;527;(554);;Charlie ;545;(650);12;(9)
17;(12);Ludvig ;512;(565);;Colin;245;(252);63;(67)
18;(14);Adrian;506;(556);;Daniel ;172;(172);89;(91)
19;(17);Alfred;497;(541);;David ;157;(188);94;(83)
20;(16);Nils ;487;(551);;Ebbe;330;(332);45;(43)
21;(35);Mohamed;479;(410);;Edvin ;396;(454);30;(29)
22;(13);Filip;469;(561);;Elias ;681;(664);7;(8)
23;(31);Theo ;462;(429);;Elis;185;(187);82;(84)
24;(25);Theodor;454;(475);;Elliot;544;(524);13;(20)
25;(22);Arvid ;453;(507);;Elton;263;(279);59;(59)
26;(23);Harry;451;(479);;Elvin;186;(180);81;(86)
27;(21);Leon ;449;(517);;Emil;376;(416);35;(33)
28;(19);Vincent;448;(537);;Erik;323;(385);46;(37)
29;(28);Melvin;406;(460);;Felix;209;(256);71;(66)
30;(29);Edvin ;396;(454);;Filip;469;(561);22;(13)
31;(27);Viktor;392;(471);;Folke;158;(151);93;(96)
32;(45);August;388;(327);;Frank;317;(310);49;(49)
32;(34);Olle ;388;(414);;Frans;219;(222);70;(75)
34;(30);Benjamin;382;(452);;Gabriel;355;(341);40;(42)
35;(33);Emil;376;(416);;Gustav ;372;(419);36;(32)
36;(32);Gustav ;372;(419);;Harry;451;(479);26;(23)
37;(48);Josef ;364;(318);;Henry;306;(294);50;(52)
38;(36);Viggo ;359;(389);;Hjalmar;200;(229);75;(72)
39;(39);Sixten ;356;(359);;Hugo ;670;(688);8;(6)
40;(42);Gabriel;355;(341);;Isak;528;(475);15;(25)
41;(64);Matteo;351;(263);;Ivar;199;(185);76;(85)
42;(40);Loui;346;(352);;Jack;266;(283);57;(58)
43;(38);Albin ;343;(374);;Jacob;297;(288);52;(56)
44;(44);Melker;336;(329);;Joel;172;(179);89;(87)
45;(43);Ebbe;330;(332);;John;179;(179);85;(87)
46;(37);Erik;323;(385);;Jonathan;173;(216);88;(76)
47;(41);Love;321;(348);;Josef ;364;(318);37;(48)
48;(46);Vidar;320;(320);;Julian;193;(192);78;(80)
49;(49);Frank;317;(310);;Kevin;205;(265);73;(63)
50;(52);Henry;306;(294);;Kian;188;(200);80;(78)
51;(47);Malte ;301;(319);;Leo;548;(538);11;(18)
52;(56);Jacob;297;(288);;Leon ;449;(517);27;(21)
53;(50);Max ;296;(308);;Levi;141;(126);98;(Ny)
53;(56);Sam;296;(288);;Liam ;823;(790);3;(4)
55;(54);Noel;282;(289);;Loke ;265;(272);58;(62)
56;(54);Wilmer ;269;(289);;Loui;346;(352);42;(40)
57;(58);Jack;266;(283);;Love;321;(348);47;(41)
58;(62);Loke ;265;(272);;Lucas;793;(864);4;(2)
59;(59);Elton;263;(279);;Ludvig ;512;(565);17;(12)
60;(67);Milo;262;(252);;Malte ;301;(319);51;(47)
61;(61);Sigge;258;(276);;Matteo;351;(263);41;(64)
62;(74);Otto;256;(225);;Max ;296;(308);53;(50)
63;(67);Colin;245;(252);;Maximilian;157;(163);94;(93)
64;(52);Anton;244;(294);;Melker;336;(329);44;(44)
65;(59);Carl;243;(279);;Melvin;406;(460);29;(28)
66;(65);Tage;240;(258);;Milian;142;(142);97;(98)
67;(51);Casper ;236;(300);;Milo;262;(252);60;(67)
68;(73);Wilhelm;235;(228);;Milton ;203;(245);74;(70)
